interaction,ligand,receptor,type,classification,source
KISS1->-KISS1R,KISS1,KISS1R,diffusion,,CellPhoneDB-v5
KITLG->-KIT,KITLG,KIT,diffusion,,CellPhoneDB-v5
KLRB1->-CLEC2D,KLRB1,CLEC2D,contact,,CellPhoneDB-v5
KNG1->-BDKRB1,KNG1,BDKRB1,diffusion,Signaling by Kininogen,CellPhoneDB-v5
KNG1->-BDKRB2,KNG1,BDKRB2,diffusion,Signaling by Kininogen,CellPhoneDB-v5
KNG1->-RXFP4,KNG1,RXFP4,diffusion,Signaling by Kininogen,CellPhoneDB-v5
L1CAM->-EZR_L1CAM,L1CAM,EZR_L1CAM,contact,Adhesion by L1CAM,CellPhoneDB-v5
L1CAM->-ITGA2B_ITGB3,L1CAM,ITGA2B_ITGB3,contact,Adhesion by L1CAM,CellPhoneDB-v5
L1CAM->-ITGAV_ITGB3,L1CAM,ITGAV_ITGB3,contact,Adhesion by L1CAM,CellPhoneDB-v5
L1CAM->-ITGB1_ITGA5,L1CAM,ITGB1_ITGA5,contact,Adhesion by L1CAM,CellPhoneDB-v5
L1CAM->-ITGB1_ITGA9,L1CAM,ITGB1_ITGA9,contact,Adhesion by L1CAM,CellPhoneDB-v5
L1CAM->-ITGB1_ITGAV,L1CAM,ITGB1_ITGAV,contact,Adhesion by L1CAM,CellPhoneDB-v5
LAMA2->-ADGRG6,LAMA2,ADGRG6,diffusion,,CellPhoneDB-v5
LAMA3->-ITGB1_ITGA3,LAMA3,ITGB1_ITGA3,diffusion,Adhesion by Laminin,CellPhoneDB-v5
LAMC1->-ITGAV_ITGB3,LAMC1,ITGAV_ITGB3,diffusion,Adhesion by Laminin,CellPhoneDB-v5
LAMC1->-ITGB1_ITGA2,LAMC1,ITGB1_ITGA2,diffusion,Adhesion by Laminin,CellPhoneDB-v5
LAMC1->-ITGB1_ITGA6,LAMC1,ITGB1_ITGA6,diffusion,Adhesion by Laminin,CellPhoneDB-v5
LAMC1->-ITGB1_ITGA7,LAMC1,ITGB1_ITGA7,diffusion,Adhesion by Laminin,CellPhoneDB-v5
LCN2->-SLC22A17,LCN2,SLC22A17,diffusion,,CellPhoneDB-v5
LEFTY1->-TDGF1,LEFTY1,TDGF1,diffusion,Signaling by Left-right determination factor,CellPhoneDB-v5
LEFTY2->-TDGF1,LEFTY2,TDGF1,diffusion,Signaling by Left-right determination factor,CellPhoneDB-v5
LEP->-LEPR,LEP,LEPR,diffusion,,CellPhoneDB-v5
LGALS3->-MERTK,LGALS3,MERTK,diffusion,Signaling by Galectin,CellPhoneDB-v5
LGALS9->-BCR_PTPRC_CD22,LGALS9,BCR_PTPRC_CD22,diffusion,Signaling by Galectin,CellPhoneDB-v5
LGALS9->-HAVCR2,LGALS9,HAVCR2,diffusion,Signaling by Galectin,CellPhoneDB-v5
LGALS9->-P4HB,LGALS9,P4HB,diffusion,Signaling by Galectin,CellPhoneDB-v5
LHB->-LHCGR,LHB,LHCGR,diffusion,,CellPhoneDB-v5
LIF->-LIFR_IL6ST,LIF,LIFR_IL6ST,diffusion,,CellPhoneDB-v5
LIPA->-RORA,LIPA,RORA,diffusion,Signaling by Cholesterol,CellPhoneDB-v5
LIPA->-RORC,LIPA,RORC,diffusion,Signaling by Cholesterol,CellPhoneDB-v5
LRFN4->-PTPRD,LRFN4,PTPRD,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRFN4->-PTPRF,LRFN4,PTPRF,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRFN4->-PTPRS,LRFN4,PTPRS,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRFN5->-PTPRD,LRFN5,PTPRD,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRFN5->-PTPRF,LRFN5,PTPRF,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRFN5->-PTPRS,LRFN5,PTPRS,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRPAP1->-SORT1,LRPAP1,SORT1,contact,,CellPhoneDB-v5
LRRC4B->-PTPRD,LRRC4B,PTPRD,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRRC4B->-PTPRF,LRRC4B,PTPRF,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRRC4B->-PTPRS,LRRC4B,PTPRS,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRRC4C->-PTPRF,LRRC4C,PTPRF,contact,Signaling by Leucine Rich Repeat And Fibronectin,CellPhoneDB-v5
LRRTM1->-NRXN1,LRRTM1,NRXN1,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM1->-NRXN2,LRRTM1,NRXN2,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM1->-NRXN3,LRRTM1,NRXN3,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM2->-NRXN1,LRRTM2,NRXN1,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM2->-NRXN2,LRRTM2,NRXN2,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM2->-NRXN3,LRRTM2,NRXN3,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
