interaction,ligand,receptor,type,classification,source
ADCYAP1->-ADCYAP1R1,ADCYAP1,ADCYAP1R1,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADCYAP1->-VIPR1,ADCYAP1,VIPR1,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADCYAP1->-VIPR2,ADCYAP1,VIPR2,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADIPOQ->-ADIPOR1_ADIPOR2,ADIPOQ,ADIPOR1_ADIPOR2,diffusion,,CellPhoneDB-v5
ADM->-RAMP3,ADM,RAMP3,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM->-RAMP3_CALCRL_GPER1,ADM,RAMP3_CALCRL_GPER1,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM2->-CALCRL_RAMP2,ADM2,CALCRL_RAMP2,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM2->-RAMP3_CALCRL_GPER1,ADM2,RAMP3_CALCRL_GPER1,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
AGRN->-MUSK_LRP4,AGRN,MUSK_LRP4,diffusion,Signaling by Agrin,CellPhoneDB-v5
AGRN->-PTPRS,AGRN,PTPRS,diffusion,Signaling by Agrin,CellPhoneDB-v5
AGRP->-MC2R,AGRP,MC2R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC3R,AGRP,MC3R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC4R,AGRP,MC4R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC5R,AGRP,MC5R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGT->-AGTR1,AGT,AGTR1,diffusion,Signaling by Angiotensinogen,CellPhoneDB-v5
AGT->-AGTR2,AGT,AGTR2,diffusion,Signaling by Angiotensinogen,CellPhoneDB-v5
AKR1B1->-PTGFR,AKR1B1,PTGFR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGDR,AKR1C3,PTGDR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGDR2,AKR1C3,PTGDR2,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGFR,AKR1C3,PTGFR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1D1->-AR,AKR1D1,AR,diffusion,Signaling by Steroids,CellPhoneDB-v5
ALB->-B2M_FCGRT,ALB,B2M_FCGRT,diffusion,,CellPhoneDB-v5
ALCAM->-CD6,ALCAM,CD6,diffusion,,CellPhoneDB-v5
ALDH1A1->-RARA_CRABP2,ALDH1A1,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARA_RXRA_CRABP2,ALDH1A1,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARB_CRABP2,ALDH1A1,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARB_RXRB_CRABP2,ALDH1A1,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARG_CRABP2,ALDH1A1,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARG_RXRG_CRABP2,ALDH1A1,RARG_RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RORB,ALDH1A1,RORB,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRA_CRABP2,ALDH1A1,RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRB_CRABP2,ALDH1A1,RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRG_CRABP2,ALDH1A1,RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARA_CRABP2,ALDH1A2,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARA_RXRA_CRABP2,ALDH1A2,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARB_CRABP2,ALDH1A2,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARB_RXRB_CRABP2,ALDH1A2,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARG_CRABP2,ALDH1A2,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARG_RXRG_CRABP2,ALDH1A2,RARG_RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RORB,ALDH1A2,RORB,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRA_CRABP2,ALDH1A2,RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRB_CRABP2,ALDH1A2,RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRG_CRABP2,ALDH1A2,RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARA_CRABP2,ALDH1A3,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARA_RXRA_CRABP2,ALDH1A3,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARB_CRABP2,ALDH1A3,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARB_RXRB_CRABP2,ALDH1A3,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARG_CRABP2,ALDH1A3,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARG_RXRG_CRABP2,ALDH1A3,RARG_RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RORB,ALDH1A3,RORB,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RXRA_CRABP2,ALDH1A3,RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RXRB_CRABP2,ALDH1A3,RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RXRG_CRABP2,ALDH1A3,RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALOX12->-CYSLTR1,ALOX12,CYSLTR1,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX12->-FPR2,ALOX12,FPR2,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5AP_ALOX5_LTC4S->-CYSLTR1,ALOX5AP_ALOX5_LTC4S,CYSLTR1,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5AP_ALOX5_LTC4S->-CYSLTR2,ALOX5AP_ALOX5_LTC4S,CYSLTR2,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5AP_ALOX5_LTC4S->-GPR17,ALOX5AP_ALOX5_LTC4S,GPR17,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5_ALOX5AP_LTC4S->-CYSLTR1,ALOX5_ALOX5AP_LTC4S,CYSLTR1,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5_ALOX5AP_LTC4S->-FPR2,ALOX5_ALOX5AP_LTC4S,FPR2,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
ALOX5_LTC4S_ALOX5AP->-OXER1,ALOX5_LTC4S_ALOX5AP,OXER1,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
AMH->-AMHR2_ACVR1,AMH,AMHR2_ACVR1,diffusion,Signaling by Muellerian-inhibiting factor,CellPhoneDB-v5
AMH->-AMHR2_BMPR1A,AMH,AMHR2_BMPR1A,diffusion,Signaling by Muellerian-inhibiting factor,CellPhoneDB-v5
AMH->-AMHR2_BMPR1B,AMH,AMHR2_BMPR1B,diffusion,Signaling by Muellerian-inhibiting factor,CellPhoneDB-v5
ANGPT1->-TEK,ANGPT1,TEK,diffusion,Signaling by Angiopoietin,CellPhoneDB-v5
ANGPT2->-TEK,ANGPT2,TEK,diffusion,Signaling by Angiopoietin,CellPhoneDB-v5
ANGPT4->-TEK,ANGPT4,TEK,diffusion,Signaling by Angiopoietin,CellPhoneDB-v5
ANXA1->-FPR1,ANXA1,FPR1,diffusion,Signaling by Annexin,CellPhoneDB-v5
ANXA1->-FPR2,ANXA1,FPR2,diffusion,Signaling by Annexin,CellPhoneDB-v5
ANXA1->-FPR3,ANXA1,FPR3,diffusion,Signaling by Annexin,CellPhoneDB-v5
APELA->-APLNR,APELA,APLNR,diffusion,Signaling by Apelin,CellPhoneDB-v5
APLN->-APLNR,APLN,APLNR,diffusion,Signaling by Apelin,CellPhoneDB-v5
APLP2->-PIGR,APLP2,PIGR,contact,Signaling by Amyloid-like protein,CellPhoneDB-v5
APLP2->-PLXNA4,APLP2,PLXNA4,contact,Signaling by Amyloid-like protein,CellPhoneDB-v5
APOA1->-ABCA1,APOA1,ABCA1,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOA1->-AMN_CUBN,APOA1,AMN_CUBN,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOA1->-TREM2_TYROBP,APOA1,TREM2_TYROBP,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOA2->-TREM2_TYROBP,APOA2,TREM2_TYROBP,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOB->-APOBR,APOB,APOBR,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOB->-TREM2_TYROBP,APOB,TREM2_TYROBP,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APOE->-TREM2_TYROBP,APOE,TREM2_TYROBP,diffusion,Signaling by Apolipoprotein,CellPhoneDB-v5
APP->-CD74,APP,CD74,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
APP->-FPR2,APP,FPR2,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
APP->-PLXNA4,APP,PLXNA4,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
APP->-SORL1,APP,SORL1,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
APP->-TNFRSF21,APP,TNFRSF21,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
APP->-TREM2_TYROBP,APP,TREM2_TYROBP,contact,Signaling by Amyloid-beta precursor protein,CellPhoneDB-v5
AREG->-EGFR,AREG,EGFR,diffusion,Signaling by Epidermal growth factor,CellPhoneDB-v5
ARTN->-RET_GFRA1,ARTN,RET_GFRA1,diffusion,Signaling by RET receptors,CellPhoneDB-v5
ARTN->-RET_GFRA3,ARTN,RET_GFRA3,diffusion,Signaling by RET receptors,CellPhoneDB-v5
ASIP->-MC1R,ASIP,MC1R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
ASMT->-MTNR1A,ASMT,MTNR1A,diffusion,Signaling by Melatonin,CellPhoneDB-v5
ASMT->-MTNR1B,ASMT,MTNR1B,diffusion,Signaling by Melatonin,CellPhoneDB-v5
AVP->-AVPR1A,AVP,AVPR1A,diffusion,Signaling by Vasopressin,CellPhoneDB-v5
AVP->-AVPR1B,AVP,AVPR1B,diffusion,Signaling by Vasopressin,CellPhoneDB-v5
AVP->-AVPR2,AVP,AVPR2,diffusion,Signaling by Vasopressin,CellPhoneDB-v5
AVP->-OXTR,AVP,OXTR,diffusion,Signaling by Vasopressin,CellPhoneDB-v5
B2M_CD1B->-IL6ST,B2M_CD1B,IL6ST,contact,,CellPhoneDB-v5
BAG6->-NCR3,BAG6,NCR3,contact,,CellPhoneDB-v5
BDNF->-NGFR,BDNF,NGFR,diffusion,Signaling by Brain-derived neurotrophic factor,CellPhoneDB-v5
BDNF->-NTRK2,BDNF,NTRK2,diffusion,Signaling by Brain-derived neurotrophic factor,CellPhoneDB-v5
BDNF->-SORT1,BDNF,SORT1,diffusion,Signaling by Brain-derived neurotrophic factor,CellPhoneDB-v5
BMP10->-ACVRL1_ACVR2A,BMP10,ACVRL1_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP10->-ACVRL1_BMPR2,BMP10,ACVRL1_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP15->-BMPR1B_BMPR2,BMP15,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1A_ACVR2A,BMP2,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1A_ACVR2B,BMP2,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1A_BMPR2,BMP2,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1B_ACVR2A,BMP2,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1B_ACVR2B,BMP2,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP2->-BMPR1B_BMPR2,BMP2,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1A_ACVR2A,BMP4,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1A_ACVR2B,BMP4,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1A_BMPR2,BMP4,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1B_ACVR2A,BMP4,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1B_ACVR2B,BMP4,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP4->-BMPR1B_BMPR2,BMP4,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-ACVR1_ACVR2A,BMP5,ACVR1_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-ACVR1_ACVR2B,BMP5,ACVR1_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-ACVR1_BMPR2,BMP5,ACVR1_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1A_ACVR2A,BMP5,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1A_ACVR2B,BMP5,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1A_BMPR2,BMP5,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1B_ACVR2A,BMP5,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1B_ACVR2B,BMP5,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP5->-BMPR1B_BMPR2,BMP5,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-ACVR1_ACVR2A,BMP6,ACVR1_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-ACVR1_ACVR2B,BMP6,ACVR1_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-ACVR1_BMPR2,BMP6,ACVR1_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1A_ACVR2A,BMP6,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1A_ACVR2B,BMP6,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1A_BMPR2,BMP6,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1B_ACVR2A,BMP6,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1B_ACVR2B,BMP6,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP6->-BMPR1B_BMPR2,BMP6,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-ACVR1_ACVR2A,BMP7,ACVR1_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-ACVR1_ACVR2B,BMP7,ACVR1_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-ACVR1_BMPR2,BMP7,ACVR1_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1A_ACVR2A,BMP7,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1A_ACVR2B,BMP7,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1A_BMPR2,BMP7,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1B_ACVR2A,BMP7,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1B_ACVR2B,BMP7,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP7->-BMPR1B_BMPR2,BMP7,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-ACVR1_ACVR2A,BMP8A,ACVR1_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-ACVR1_ACVR2B,BMP8A,ACVR1_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-ACVR1_BMPR2,BMP8A,ACVR1_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1A_ACVR2A,BMP8A,BMPR1A_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1A_ACVR2B,BMP8A,BMPR1A_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1A_BMPR2,BMP8A,BMPR1A_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1B_ACVR2A,BMP8A,BMPR1B_ACVR2A,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1B_ACVR2B,BMP8A,BMPR1B_ACVR2B,diffusion,Signaling by BMP,CellPhoneDB-v5
BMP8A->-BMPR1B_BMPR2,BMP8A,BMPR1B_BMPR2,diffusion,Signaling by BMP,CellPhoneDB-v5
BST2->-LILRA4,BST2,LILRA4,contact,,CellPhoneDB-v5
BTC->-EGFR,BTC,EGFR,diffusion,Signaling by Epidermal growth factor,CellPhoneDB-v5
BTC->-ERBB3,BTC,ERBB3,diffusion,Signaling by Betacellulin,CellPhoneDB-v5
BTC->-ERBB4,BTC,ERBB4,diffusion,Signaling by Betacellulin,CellPhoneDB-v5
BTLA->-TNFRSF14,BTLA,TNFRSF14,contact,Signaling by Tumor necrosis factor,CellPhoneDB-v5
C10orf99->-GPR15,C10orf99,GPR15,diffusion,,CellPhoneDB-v5
C10orf99->-SUSD2,C10orf99,SUSD2,diffusion,,CellPhoneDB-v5
C1QL1->-ADGRB3,C1QL1,ADGRB3,diffusion,Signaling by Complement,CellPhoneDB-v5
C1QL2->-ADGRB3,C1QL2,ADGRB3,diffusion,Signaling by Complement,CellPhoneDB-v5
C1QL3->-ADGRB3,C1QL3,ADGRB3,diffusion,Signaling by Complement,CellPhoneDB-v5
C1QL4->-ADGRB3,C1QL4,ADGRB3,diffusion,Signaling by Complement,CellPhoneDB-v5
C3->-C3AR1,C3,C3AR1,diffusion,Signaling by Complement,CellPhoneDB-v5
C3->-C5AR2,C3,C5AR2,diffusion,Signaling by Complement,CellPhoneDB-v5
C3->-ITGB2_ITGAM,C3,ITGB2_ITGAM,diffusion,Signaling by Complement,CellPhoneDB-v5
C4A->-C5AR2,C4A,C5AR2,diffusion,Signaling by Complement,CellPhoneDB-v5
C5->-C5AR1,C5,C5AR1,diffusion,Signaling by Complement,CellPhoneDB-v5
C5->-C5AR2,C5,C5AR2,diffusion,Signaling by Complement,CellPhoneDB-v5
CALCA->-CALCR,CALCA,CALCR,diffusion,Signaling by Calcitonin,CellPhoneDB-v5
CALCA->-CALCRL_RAMP1,CALCA,CALCRL_RAMP1,diffusion,Signaling by Calcitonin,CellPhoneDB-v5
CALCB->-CALCR,CALCB,CALCR,diffusion,Signaling by Calcitonin,CellPhoneDB-v5
CALCB->-CALCRL_RAMP1,CALCB,CALCRL_RAMP1,diffusion,Signaling by Calcitonin,CellPhoneDB-v5
CBR1->-PTGFR,CBR1,PTGFR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
CCK->-CCKAR,CCK,CCKAR,diffusion,Signaling by Cholecystokinin,CellPhoneDB-v5
CCK->-CCKBR,CCK,CCKBR,diffusion,Signaling by Cholecystokinin,CellPhoneDB-v5
CCL1->-CCR8,CCL1,CCR8,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL11->-ACKR2,CCL11,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL11->-CCR3,CCL11,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL11->-DPP4,CCL11,DPP4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL13->-ACKR2,CCL13,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL13->-CCR2,CCL13,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL13->-CCR3,CCL13,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL14->-ACKR2,CCL14,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL14->-CCR1,CCL14,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL14->-CCR3,CCL14,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL15->-CCR1,CCL15,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL15->-CCR3,CCL15,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL16->-CCR1,CCL16,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL16->-CCR2,CCL16,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL16->-CCR8,CCL16,CCR8,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL16->-HRH4,CCL16,HRH4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL17->-CCR4,CCL17,CCR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL18->-CCR8,CCL18,CCR8,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL19->-ACKR4,CCL19,ACKR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL19->-CCR7,CCL19,CCR7,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL19->-CCRL2,CCL19,CCRL2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL2->-ACKR1,CCL2,ACKR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL2->-ACKR2,CCL2,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL2->-CCR2,CCL2,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL20->-CCR6,CCL20,CCR6,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL21->-ACKR4,CCL21,ACKR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL21->-CCR7,CCL21,CCR7,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL22->-CCR4,CCL22,CCR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL22->-DPP4,CCL22,DPP4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL23->-CCR1,CCL23,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL23->-FPR2,CCL23,FPR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL24->-CCR3,CCL24,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL25->-ACKR4,CCL25,ACKR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL25->-CCR9,CCL25,CCR9,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL26->-CCR1,CCL26,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL26->-CCR2,CCL26,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL26->-CCR3,CCL26,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL27->-CCR10,CCL27,CCR10,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL28->-CCR10,CCL28,CCR10,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3->-ACKR2,CCL3,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3->-CCR1,CCL3,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3->-CCR3,CCL3,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3->-CCR5,CCL3,CCR5,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3L1->-CCR1,CCL3L1,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL3L1->-CCR3,CCL3L1,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL4->-ACKR2,CCL4,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL4->-CCR5,CCL4,CCR5,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-ACKR1,CCL5,ACKR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-ACKR2,CCL5,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-CCR1,CCL5,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-CCR3,CCL5,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-CCR4,CCL5,CCR4,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-CCR5,CCL5,CCR5,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL5->-GPR75,CCL5,GPR75,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL7->-ACKR2,CCL7,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL7->-CCR1,CCL7,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL7->-CCR2,CCL7,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL7->-CCR3,CCL7,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL7->-CCR5,CCL7,CCR5,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL8->-ACKR2,CCL8,ACKR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL8->-CCR1,CCL8,CCR1,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL8->-CCR2,CCL8,CCR2,diffusion,Signaling by Chemokines,CellPhoneDB-v5
CCL8->-CCR3,CCL8,CCR3,diffusion,Signaling by Chemokines,CellPhoneDB-v5
